Game,Score,Epsilon,Reward,Loss,Q_value
609.0,0,500.0,3.0,0.0,3.0
610.0,1,500.0,3.0,0.0,2.0
611.0,1,500.0,4.0,1.0,2.0
612.0,2,500.0,3.0,0.0,5.0
613.0,1,500.0,3.0,1.0,6.0
614.0,0,500.0,3.0,0.0,4.0
615.0,1,500.0,3.0,0.0,2.0
616.0,1,500.0,3.0,0.0,1.0
617.0,1,500.0,3.0,0.0,2.0
618.0,1,500.0,3.0,0.0,1.0
619.0,0,500.0,4.0,0.0,5.0
620.0,0,500.0,3.0,1.0,5.0
621.0,0,500.0,3.0,0.0,3.0
622.0,0,500.0,3.0,0.0,2.0
623.0,0,500.0,4.0,1.0,3.0
